grid,hint_facts,hint_constraints,hint_derived,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 0 0]
 [0 8 0 5 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [2, 3, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 8], ['COL', 5], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [8, 5, 5]]",0,4,0,1,1,1,0,0,4,0,0,0
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 4 0]
 [0 8 0 5 0 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [2, 3, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 8], ['COL', 5], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [8, 5, 5]]",0,4,0,1,1,1,0,0,4,0,0,0
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 4 0]
 [0 8 0 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [0 7 3 0 4 0 0 8 2]]","[['FACT', [2, 3, 5]], ['FACT', [5, 4, 5]], ['FACT', [6, 1, 5]], ['FACT', [7, 6, 5]]]","[['ROW', 8], ['COL', 5], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [8, 5, 5]]",0,4,0,1,1,1,0,0,4,0,0,0
"[[0 0 2 8 0 3 9 5 6]
 [0 0 5 2 7 9 8 4 0]
 [0 8 0 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 8, 6]], ['FACT', [1, 2, 5]], ['FACT', [2, 4, 6]], ['FACT', [7, 1, 6]]]","[['ROW', 1], ['COL', 1], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [1, 0, 6]]",1,3,0,0,1,0,1,0,2,1,0,1
"[[0 0 2 8 0 3 9 5 6]
 [6 0 5 2 7 9 8 4 0]
 [0 8 0 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 0 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 6, 9]], ['FACT', [0, 7, 5]], ['FACT', [0, 8, 6]], ['FACT', [1, 4, 7]], ['FACT', [8, 1, 7]]]","[['ROW', 0], ['COL', 1], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [0, 0, 7]]",4,2,0,0,1,0,1,0,1,4,0,1
"[[0 0 2 8 0 3 9 5 6]
 [6 0 5 2 7 9 8 4 0]
 [0 8 0 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [0 7 3 0 4 5 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 6, 9]], ['FACT', [0, 7, 5]], ['FACT', [0, 8, 6]], ['FACT', [1, 4, 7]], ['FACT', [8, 1, 7]]]","[['ROW', 0], ['COL', 1], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [0, 0, 7]]",4,2,0,0,1,0,1,0,1,4,0,1
"[[0 0 2 8 0 3 9 5 6]
 [6 0 5 2 7 9 8 4 0]
 [0 8 0 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 6, 9]], ['FACT', [1, 5, 9]], ['FACT', [2, 1, 8]], ['FACT', [8, 0, 9]]]","[['ROW', 2], ['COL', 0], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [2, 2, 9]]",1,3,0,0,1,0,1,0,2,1,0,1
"[[0 0 2 8 0 3 9 5 6]
 [6 0 5 2 7 9 8 4 0]
 [0 8 9 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 6, 9]], ['FACT', [0, 7, 5]], ['FACT', [0, 8, 6]], ['FACT', [1, 4, 7]], ['FACT', [8, 1, 7]]]","[['ROW', 0], ['COL', 1], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [0, 0, 7]]",4,2,0,0,1,0,1,0,1,4,0,1
"[[7 0 2 8 0 3 9 5 6]
 [6 0 5 2 7 9 8 4 0]
 [0 8 9 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 0, 7]], ['FACT', [0, 2, 2]], ['FACT', [1, 7, 4]], ['FACT', [2, 5, 4]]]","[['ROW', 0], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [0, 1, 4]]",2,2,0,0,1,0,0,0,2,2,0,2
"[[7 4 2 8 0 3 9 5 6]
 [6 0 5 2 7 9 8 4 0]
 [0 8 9 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 0, 7]], ['FACT', [0, 1, 4]], ['FACT', [0, 2, 2]], ['FACT', [0, 3, 8]], ['FACT', [0, 5, 3]], ['FACT', [0, 6, 9]], ['FACT', [0, 7, 5]], ['FACT', [0, 8, 6]]]","[['ROW', 0]]","['DERIVED', [0, 4, 1]]",8,0,0,0,1,0,0,0,0,8,0,2
"[[7 4 2 8 1 3 9 5 6]
 [6 0 5 2 7 9 8 4 0]
 [0 8 9 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 5]
 [0 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [0, 6, 9]], ['FACT', [2, 2, 9]], ['FACT', [2, 6, 2]], ['FACT', [3, 4, 3]], ['FACT', [4, 3, 9]], ['FACT', [4, 4, 2]], ['FACT', [5, 8, 8]], ['FACT', [6, 1, 5]], ['FACT', [6, 6, 3]], ['FACT', [7, 1, 6]], ['FACT', [8, 1, 7]], ['FACT', [8, 2, 3]]]","[['ROW', 5], ['COL', 2], ['COL', 0], ['COL', 6], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[6, 0], [9, 3]]]]","['DERIVED', [5, 0, 3]]",1,3,9,1,1,0,2,0,2,1,0,0
"[[7 4 2 8 1 3 9 5 6]
 [6 0 5 2 7 9 8 4 0]
 [0 8 9 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [3, 4, 3]], ['FACT', [4, 8, 5]], ['FACT', [5, 0, 3]], ['FACT', [6, 6, 3]]]","[['ROW', 4], ['COL', 6], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [4, 7, 3]]",1,3,0,0,1,0,1,0,2,1,0,1
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 0]
 [0 8 9 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 0 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [3, 4, 3]], ['FACT', [4, 8, 5]], ['FACT', [5, 0, 3]], ['FACT', [6, 6, 3]]]","[['ROW', 4], ['COL', 6], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 0], [6, 3]]]]","['DERIVED', [4, 7, 3]]",1,3,0,0,1,0,1,0,2,1,0,1
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 0]
 [0 8 9 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 1, 3]], ['FACT', [4, 7, 3]], ['FACT', [6, 6, 3]]]","[['ROW', 2], ['COL', 8], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [2, 8, 3]]",0,4,0,1,1,1,0,0,4,0,0,0
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 0]
 [1 8 9 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 1, 3]], ['FACT', [4, 7, 3]], ['FACT', [6, 6, 3]]]","[['ROW', 2], ['COL', 8], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [2, 8, 3]]",0,4,0,1,1,1,0,0,4,0,0,0
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 0 0]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 5, 3]], ['FACT', [1, 1, 3]], ['FACT', [4, 7, 3]], ['FACT', [6, 6, 3]]]","[['ROW', 2], ['COL', 8], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[3, 6], [6, 9]]], ['BLOCK', [[6, 6], [9, 9]]], ['BLOCK', [[0, 3], [3, 6]]], ['BLOCK', [[0, 6], [3, 9]]]]","['DERIVED', [2, 8, 3]]",0,4,0,1,1,1,0,0,4,0,0,0
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 0 3]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 0, 7]], ['FACT', [1, 4, 7]], ['FACT', [2, 6, 2]], ['FACT', [2, 8, 3]]]","[['ROW', 2], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [2, 7, 7]]",2,2,0,0,1,0,0,0,2,2,0,2
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 0]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [2, 7, 7]], ['FACT', [6, 6, 3]], ['FACT', [7, 6, 5]], ['FACT', [7, 8, 4]], ['FACT', [8, 1, 7]]]","[['ROW', 8], ['COL', 7], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [6, 8, 7]]",3,2,0,0,0,1,1,1,0,1,1,3
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 7]
 [0 6 0 3 9 0 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [6, 8, 7]], ['FACT', [7, 3, 3]], ['FACT', [7, 4, 9]], ['FACT', [8, 1, 7]]]","[['ROW', 7], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [7, 5, 7]]",2,2,0,0,1,0,0,0,2,2,0,2
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 0 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [6, 6, 3]], ['FACT', [6, 8, 7]], ['FACT', [7, 4, 9]], ['FACT', [8, 0, 9]]]","[['ROW', 6], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[6, 3], [9, 6]]]]","['DERIVED', [6, 7, 9]]",2,2,0,0,1,0,0,0,2,2,0,2
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 0 3 9 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [1, 3, 2]], ['FACT', [4, 4, 2]], ['FACT', [7, 5, 7]], ['FACT', [8, 8, 2]]]","[['ROW', 8], ['COL', 5], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[0, 3], [3, 6]]]]","['DERIVED', [6, 5, 2]]",1,3,0,1,0,0,0,1,2,0,1,1
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 0 5 0 0 0 8]
 [0 5 0 0 8 2 3 9 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [6, 5, 2]], ['FACT', [7, 1, 6]], ['FACT', [8, 8, 2]]]","[['ROW', 7], ['COL', 2], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [7, 0, 2]]",1,3,0,0,1,0,1,0,2,1,0,1
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 0]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 7 5 0 0 0 8]
 [0 5 0 0 8 2 3 9 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [0, 2, 2]], ['FACT', [6, 5, 2]], ['FACT', [7, 1, 6]], ['FACT', [8, 8, 2]]]","[['ROW', 7], ['COL', 2], ['BLOCK', [[6, 3], [9, 6]]], ['BLOCK', [[6, 6], [9, 9]]]]","['DERIVED', [7, 0, 2]]",1,3,0,0,1,0,1,0,2,1,0,1
"[[7 4 2 8 1 3 9 5 6]
 [6 3 5 2 7 9 8 4 1]
 [1 8 9 5 6 4 2 7 3]
 [5 0 0 4 3 0 0 0 9]
 [0 0 0 9 2 0 0 3 5]
 [3 0 0 7 5 0 0 0 8]
 [0 5 0 0 8 2 3 9 7]
 [0 6 0 3 9 7 5 0 4]
 [9 7 3 0 4 5 0 8 2]]","[['FACT', [2, 2, 9]], ['FACT', [3, 8, 9]], ['FACT', [4, 3, 9]], ['FACT', [8, 0, 9]]]","[['ROW', 5], ['COL', 1], ['BLOCK', [[3, 3], [6, 6]]], ['BLOCK', [[3, 0], [6, 3]]], ['BLOCK', [[6, 0], [9, 3]]], ['BLOCK', [[0, 0], [3, 3]]], ['BLOCK', [[3, 6], [6, 9]]]]","['DERIVED', [5, 1, 9]]",0,4,0,1,1,1,0,0,4,0,0,0
