,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,0.0,0.5,0.6666666666666666,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,Difference
2,6.0,1.0,3.5,4.333333333333333,1.0,1.0,6.0,0.001,6.0,6.0,6.0,6.0,Final
3,6.0,1.0,3.5,4.333333333333333,1.0,1.0,6.0,0.001,6.0,6.0,6.0,6.0,Starting
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,Difference
5,6.0,1.0,3.5,4.333333333333333,1.0,1.0,6.0,5.001,1.0,6.0,6.0,1.0,Final
6,6.0,1.0,3.5,4.333333333333333,1.0,1.0,6.0,5.001,1.0,6.0,6.0,1.0,Starting
7,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,0.0,Difference
8,11.0,6.0,8.5,9.333333333333332,1.0,1.0,11.0,5.001,0.001,1.0,6.0,1.0,Final
9,11.0,6.0,8.5,9.333333333333332,1.0,1.0,11.0,5.001,0.001,1.0,6.0,1.0,Starting
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,-1.0,Difference
11,11.0,6.0,8.5,9.333333333333332,1.0,1.0,11.0,10.001000000000001,4.167666666666667,1.0,6.0,0.001,Final
12,11.0,6.0,8.5,9.333333333333332,1.0,1.0,11.0,10.001000000000001,4.167666666666667,1.0,6.0,0.001,Starting
13,,,,,,,,,,,,,Difference
14,11.0,6.0,8.5,9.333333333333332,1.0,1.0,11.0,10.001000000000001,4.167666666666667,1.0,6.0,0.001,Final
15,11.0,6.0,8.5,9.333333333333332,1.0,1.0,11.0,10.001000000000001,4.167666666666667,1.0,6.0,0.001,Starting
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,Difference
17,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,10.001000000000001,4.167666666666667,3.5,6.0,0.001,Final
18,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,10.001000000000001,4.167666666666667,3.5,6.0,0.001,Starting
19,,,,,,,,,,,,,Difference
20,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,10.001000000000001,4.167666666666667,3.5,6.0,0.001,Final
21,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,10.001000000000001,4.167666666666667,3.5,6.0,0.001,Starting
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.7,Difference
23,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,15.001000000000001,0.001,3.5,6.0,3.501,Final
24,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,15.001000000000001,0.001,3.5,6.0,3.501,Starting
25,,,,,,,,,,,,,Difference
26,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,15.001000000000001,0.001,3.5,6.0,3.501,Final
27,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,15.001000000000001,0.001,3.5,6.0,3.501,Starting
28,,,,,,,,,,,,,Difference
29,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,15.001000000000001,0.001,3.5,6.0,3.501,Final
30,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,15.001000000000001,0.001,3.5,6.0,3.501,Starting
31,,,,,,,,,,,,,Difference
32,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,15.001000000000001,0.001,3.5,6.0,3.501,Final
33,11.0,6.0,8.5,9.333333333333332,6.0,1.0,11.0,15.001000000000001,0.001,3.5,6.0,3.501,Starting
34,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-0.8333333333333334,0.0,0.0,0.0,Difference
35,11.0,6.0,13.5,9.333333333333332,6.0,1.0,6.0,15.001000000000001,0.001,3.5,6.0,3.501,Final
36,11.0,6.0,13.5,9.333333333333332,6.0,1.0,6.0,15.001000000000001,0.001,3.5,6.0,3.501,Starting
37,,,,,,,,,,,,,Difference
38,11.0,6.0,13.5,9.333333333333332,6.0,1.0,6.0,15.001000000000001,0.001,3.5,6.0,3.501,Final
39,11.0,6.0,13.5,9.333333333333332,6.0,1.0,6.0,15.001000000000001,0.001,3.5,6.0,3.501,Starting
40,,,,,,,,,,,,,Difference
41,11.0,6.0,13.5,9.333333333333332,6.0,1.0,6.0,15.001000000000001,0.001,3.5,6.0,3.501,Final
42,11.0,6.0,13.5,9.333333333333332,6.0,1.0,6.0,15.001000000000001,0.001,3.5,6.0,3.501,Starting
43,,,,,,,,,,,,,Difference
44,11.0,6.0,13.5,9.333333333333332,6.0,1.0,6.0,15.001000000000001,0.001,3.5,6.0,3.501,Final
45,11.0,6.0,13.5,9.333333333333332,6.0,1.0,6.0,15.001000000000001,0.001,3.5,6.0,3.501,Starting
46,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.8333333333333334,1.0,0.0,-1.0,Difference
47,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,0.001,8.5,6.0,0.001,Final
48,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,0.001,8.5,6.0,0.001,Starting
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.75,0.0,0.0,0.8,Difference
50,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,0.001,8.5,6.0,4.001,Final
51,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,0.001,8.5,6.0,4.001,Starting
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,1.0,0.0,-0.5,Difference
53,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,4.167666666666667,13.5,6.0,1.5010000000000003,Final
54,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,4.167666666666667,13.5,6.0,1.5010000000000003,Starting
55,,,,,,,,,,,,,Difference
56,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,4.167666666666667,13.5,6.0,1.5010000000000003,Final
57,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,4.167666666666667,13.5,6.0,1.5010000000000003,Starting
58,,,,,,,,,,,,,Difference
59,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,4.167666666666667,13.5,6.0,1.5010000000000003,Final
60,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,4.167666666666667,13.5,6.0,1.5010000000000003,Starting
61,,,,,,,,,,,,,Difference
62,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,4.167666666666667,13.5,6.0,1.5010000000000003,Final
63,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,15.001000000000001,4.167666666666667,13.5,6.0,1.5010000000000003,Starting
64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,Difference
65,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,20.001,0.001,13.5,6.0,0.001,Final
66,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,20.001,0.001,13.5,6.0,0.001,Starting
67,,,,,,,,,,,,,Difference
68,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,20.001,0.001,13.5,6.0,0.001,Final
69,11.0,6.0,13.5,9.333333333333332,6.0,1.0,1.0,20.001,0.001,13.5,6.0,0.001,Starting
70,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8333333333333334,0.0,0.0,-1.0,Difference
71,11.0,6.0,13.5,9.333333333333332,6.0,6.0,1.0,25.001,4.167666666666667,13.5,6.0,0.001,Final
72,11.0,6.0,13.5,9.333333333333332,6.0,6.0,1.0,25.001,4.167666666666667,13.5,6.0,0.001,Starting
73,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,Difference
74,11.0,8.5,13.5,11.833333333333332,6.0,6.0,1.0,25.001,9.167666666666667,13.5,6.0,0.001,Final
75,11.0,8.5,13.5,11.833333333333332,6.0,6.0,1.0,25.001,9.167666666666667,13.5,6.0,0.001,Starting
76,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.8,Difference
77,11.0,8.5,18.5,11.833333333333332,6.0,6.0,1.0,25.001,9.167666666666667,8.5,6.0,4.001,Final
