,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,2.0,-2.0,2.0,1.0,-1.0,1.0,-2.0,2.0,-2.0,1.0,1.0,1.0,Difference
2,11.0,0.001,11.0,6.0,0.001,6.0,0.001,11.0,0.001,6.0,6.0,6.0,Final
3,11.0,0.001,11.0,6.0,0.001,6.0,0.001,11.0,0.001,6.0,6.0,6.0,Starting
4,0.0,0.0,0.0,1.0,0.0,1.0,-2.0,0.0,2.0,0.0,0.0,0.0,Difference
5,11.0,0.001,11.0,11.0,0.001,11.0,0.001,11.0,10.001,6.0,6.0,6.0,Final
6,11.0,0.001,11.0,11.0,0.001,11.0,0.001,11.0,10.001,6.0,6.0,6.0,Starting
7,0.0,1.0,0.0,0.0,-1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,0.0,Difference
8,11.0,5.001,11.0,11.0,0.001,16.0,5.001,16.0,0.001,1.0,11.0,6.0,Final
9,11.0,5.001,11.0,11.0,0.001,16.0,5.001,16.0,0.001,1.0,11.0,6.0,Starting
10,-1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,Difference
11,6.0,10.001000000000001,11.0,11.0,0.001,16.0,10.001000000000001,16.0,0.001,0.001,11.0,1.0,Final
12,6.0,10.001000000000001,11.0,11.0,0.001,16.0,10.001000000000001,16.0,0.001,0.001,11.0,1.0,Starting
13,-3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0.0,0.0,Difference
14,0.001,15.001000000000001,11.0,11.0,0.001,16.0,10.001000000000001,16.0,5.001,0.001,11.0,1.0,Final
15,0.001,15.001000000000001,11.0,11.0,0.001,16.0,10.001000000000001,16.0,5.001,0.001,11.0,1.0,Starting
16,4.0,-2.0,1.0,0.0,0.0,1.0,0.0,0.0,-2.0,1.0,1.0,3.0,Difference
