,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-0.5,1.0,-1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,Difference
2,1.5,0.75,1.5,0.5,1.5,1.5,1.5,1.375,1.375,1.5,1.5,1.5,Final
3,1.5,0.75,1.5,0.5,1.5,1.5,1.5,1.375,1.375,1.5,1.5,1.5,Starting
4,0.5714285714285714,0.5,0.8461538461538461,-1.0,1.0,1.0,0.875,0.875,-1.0,1.0,-0.5,0.6,Difference
5,1.7857142857142856,1.0,1.9230769230769231,0.001,2.0,2.0,1.9375,1.8125,0.875,2.0,1.25,1.8,Final
6,1.7857142857142856,1.0,1.9230769230769231,0.001,2.0,2.0,1.9375,1.8125,0.875,2.0,1.25,1.8,Starting
7,,,,,,,,,,,,,Difference
8,1.7857142857142856,1.0,1.9230769230769231,0.001,2.0,2.0,1.9375,1.8125,0.875,2.0,1.25,1.8,Final
9,1.7857142857142856,1.0,1.9230769230769231,0.001,2.0,2.0,1.9375,1.8125,0.875,2.0,1.25,1.8,Starting
10,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,Difference
11,1.7857142857142856,1.0,1.9230769230769231,0.501,2.0,1.5,1.4375,1.8125,1.375,2.0,1.25,1.8,Final
12,1.7857142857142856,1.0,1.9230769230769231,0.501,2.0,1.5,1.4375,1.8125,1.375,2.0,1.25,1.8,Starting
13,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,Difference
14,1.7857142857142856,1.0,1.9230769230769231,0.501,1.5,2.0,1.4375,2.3125,0.875,2.0,1.25,1.8,Final
15,1.7857142857142856,1.0,1.9230769230769231,0.501,1.5,2.0,1.4375,2.3125,0.875,2.0,1.25,1.8,Starting
16,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,-0.5,Difference
17,1.7857142857142856,1.0,2.4230769230769234,1.001,1.5,2.0,1.4375,2.3125,0.875,1.75,1.75,1.55,Final
18,1.7857142857142856,1.0,2.4230769230769234,1.001,1.5,2.0,1.4375,2.3125,0.875,1.75,1.75,1.55,Starting
19,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,Difference
20,1.7857142857142856,1.0,2.4230769230769234,1.001,1.0,2.5,1.4375,2.8125,0.375,1.75,1.75,1.55,Final
21,1.7857142857142856,1.0,2.4230769230769234,1.001,1.0,2.5,1.4375,2.8125,0.375,1.75,1.75,1.55,Starting
22,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,Difference
23,1.7857142857142856,1.0,2.4230769230769234,1.501,1.0,2.0,1.4375,2.8125,0.875,1.75,1.75,1.55,Final
24,1.7857142857142856,1.0,2.4230769230769234,1.501,1.0,2.0,1.4375,2.8125,0.875,1.75,1.75,1.55,Starting
25,-0.75,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.75,0.0,Difference
26,1.4107142857142856,1.1666666666666667,2.4230769230769234,1.501,1.0,2.0,1.4375,2.8125,1.125,1.75,1.375,1.55,Final
27,1.4107142857142856,1.1666666666666667,2.4230769230769234,1.501,1.0,2.0,1.4375,2.8125,1.125,1.75,1.375,1.55,Starting
28,0.5,0.25,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,-0.5,0.5,0.0,0.0,Difference
29,1.6607142857142856,1.2916666666666667,2.4230769230769234,1.501,1.0,2.0,1.7708333333333333,2.8125,0.875,2.0,1.375,1.55,Final
30,1.6607142857142856,1.2916666666666667,2.4230769230769234,1.501,1.0,2.0,1.7708333333333333,2.8125,0.875,2.0,1.375,1.55,Starting
31,0.0,0.4,0.0,0.0,0.0,0.0,0.75,0.0,-0.5,0.0,0.0,0.0,Difference
32,1.6607142857142856,1.4916666666666667,2.4230769230769234,1.501,1.0,2.0,2.145833333333333,2.8125,0.625,2.0,1.375,1.55,Final
33,1.6607142857142856,1.4916666666666667,2.4230769230769234,1.501,1.0,2.0,2.145833333333333,2.8125,0.625,2.0,1.375,1.55,Starting
34,,,,,,,,,,,,,Difference
35,1.6607142857142856,1.4916666666666667,2.4230769230769234,1.501,1.0,2.0,2.145833333333333,2.8125,0.625,2.0,1.375,1.55,Final
36,1.6607142857142856,1.4916666666666667,2.4230769230769234,1.501,1.0,2.0,2.145833333333333,2.8125,0.625,2.0,1.375,1.55,Starting
37,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,Difference
38,1.6607142857142856,1.4916666666666667,2.4230769230769234,2.001,1.0,1.5,1.645833333333333,2.8125,1.125,2.0,1.375,1.55,Final
39,1.6607142857142856,1.4916666666666667,2.4230769230769234,2.001,1.0,1.5,1.645833333333333,2.8125,1.125,2.0,1.375,1.55,Starting
40,,,,,,,,,,,,,Difference
41,1.6607142857142856,1.4916666666666667,2.4230769230769234,2.001,1.0,1.5,1.645833333333333,2.8125,1.125,2.0,1.375,1.55,Final
42,1.6607142857142856,1.4916666666666667,2.4230769230769234,2.001,1.0,1.5,1.645833333333333,2.8125,1.125,2.0,1.375,1.55,Starting
43,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Difference
44,1.6607142857142856,1.4916666666666667,2.4230769230769234,1.501,1.0,2.0,2.145833333333333,2.8125,1.125,2.0,1.375,1.55,Final
45,1.6607142857142856,1.4916666666666667,2.4230769230769234,1.501,1.0,2.0,2.145833333333333,2.8125,1.125,2.0,1.375,1.55,Starting
46,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.5,0.0,0.0,0.0,Difference
47,1.6607142857142856,1.4916666666666667,2.4230769230769234,2.001,1.0,2.5,1.645833333333333,2.8125,1.375,2.0,1.375,1.55,Final
48,1.6607142857142856,1.4916666666666667,2.4230769230769234,2.001,1.0,2.5,1.645833333333333,2.8125,1.375,2.0,1.375,1.55,Starting
49,,,,,,,,,,,,,Difference
50,1.6607142857142856,1.4916666666666667,2.4230769230769234,2.001,1.0,2.5,1.645833333333333,2.8125,1.375,2.0,1.375,1.55,Final
