,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,1.0,-1.0,1.0,1.0,Difference
2,11.0,11.0,11.0,11.0,1.0,1.0,11.0,6.0,11.0,0.001,11.0,11.0,Final
3,11.0,11.0,11.0,11.0,1.0,1.0,11.0,6.0,11.0,0.001,11.0,11.0,Starting
4,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5,-1.0,1.0,0.0,-1.0,Difference
5,11.0,11.0,11.0,11.0,1.0,1.0,1.0,11.0,1.0,10.001,11.0,1.0,Final
6,11.0,11.0,11.0,11.0,1.0,1.0,1.0,11.0,1.0,10.001,11.0,1.0,Starting
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,-1.0,Difference
8,11.0,11.0,11.0,11.0,1.0,1.0,1.0,16.0,0.001,10.001,11.0,0.001,Final
9,11.0,11.0,11.0,11.0,1.0,1.0,1.0,16.0,0.001,10.001,11.0,0.001,Starting
10,,,,,,,,,,,,,Difference
11,11.0,11.0,11.0,11.0,1.0,1.0,1.0,16.0,0.001,10.001,11.0,0.001,Final
12,11.0,11.0,11.0,11.0,1.0,1.0,1.0,16.0,0.001,10.001,11.0,0.001,Starting
13,,,,,,,,,,,,,Difference
14,11.0,11.0,11.0,11.0,1.0,1.0,1.0,16.0,0.001,10.001,11.0,0.001,Final
15,11.0,11.0,11.0,11.0,1.0,1.0,1.0,16.0,0.001,10.001,11.0,0.001,Starting
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,-1.0,0.0,0.0,0.0,Difference
17,11.0,11.0,11.0,11.0,1.0,1.0,1.0,21.0,0.001,10.001,11.0,0.001,Final
18,11.0,11.0,11.0,11.0,1.0,1.0,1.0,21.0,0.001,10.001,11.0,0.001,Starting
19,,,,,,,,,,,,,Difference
