,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,-1.0,0.5,-1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,Difference
2,0.001,1.5,0.001,0.001,0.001,2.0,2.0,2.0,0.001,0.001,0.001,0.001,Final
3,0.001,1.5,0.001,0.001,0.001,2.0,2.0,2.0,0.001,0.001,0.001,0.001,Starting
4,-0.5,0.3333333333333333,1.0,-1.0,1.0,0.0,1.0,0.0,0.3333333333333333,1.0,-1.0,-0.5,Difference
5,0.001,1.8333333333333333,1.001,0.001,1.001,2.0,3.0,2.0,0.3343333333333333,1.001,0.001,0.001,Final
6,0.001,1.8333333333333333,1.001,0.001,1.001,2.0,3.0,2.0,0.3343333333333333,1.001,0.001,0.001,Starting
7,-0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,-0.5,-0.5,Difference
8,0.001,2.1666666666666665,1.001,0.001,1.001,2.0,3.0,3.0,0.6676666666666666,1.001,0.001,0.001,Final
9,0.001,2.1666666666666665,1.001,0.001,1.001,2.0,3.0,3.0,0.6676666666666666,1.001,0.001,0.001,Starting
10,-0.6666666666666666,0.3333333333333333,-1.0,0.0,-1.0,0.0,0.0,1.0,-0.3333333333333333,-1.0,-0.5,-0.5,Difference
11,0.001,2.5,0.001,0.001,0.001,2.0,3.0,4.0,0.3343333333333333,0.001,0.001,0.001,Final
12,0.001,2.5,0.001,0.001,0.001,2.0,3.0,4.0,0.3343333333333333,0.001,0.001,0.001,Starting
13,-0.4,0.5,-1.0,-1.0,0.0,0.0,0.0,0.0,0.5,0.5,-1.0,0.3333333333333333,Difference
14,0.001,3.0,0.001,0.001,0.001,2.0,3.0,4.0,0.8343333333333334,0.501,0.001,0.3343333333333333,Final
15,0.001,3.0,0.001,0.001,0.001,2.0,3.0,4.0,0.8343333333333334,0.501,0.001,0.3343333333333333,Starting
16,-0.6,0.5,1.0,0.0,1.0,0.0,0.0,0.0,0.5,1.0,-0.8,-0.5,Difference
