,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-0.5,1.0,-1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,Difference
2,2.0,0.5,2.0,0.001,2.0,2.0,2.0,1.75,1.75,2.0,2.0,2.0,Final
3,2.0,0.5,2.0,0.001,2.0,2.0,2.0,1.75,1.75,2.0,2.0,2.0,Starting
4,0.0,-0.5,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.5,-0.3333333333333333,Difference
5,2.0,0.001,3.0,1.001,2.0,1.0,2.0,1.75,2.75,1.0,2.5,1.6666666666666667,Final
6,2.0,0.001,3.0,1.001,2.0,1.0,2.0,1.75,2.75,1.0,2.5,1.6666666666666667,Starting
7,0.0,-0.4,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,Difference
8,2.0,0.001,3.0,2.001,2.0,0.001,1.0,1.75,3.75,1.0,2.5,1.6666666666666667,Final
9,2.0,0.001,3.0,2.001,2.0,0.001,1.0,1.75,3.75,1.0,2.5,1.6666666666666667,Starting
10,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
11,2.0,0.501,3.0,2.001,2.0,0.001,1.0,1.75,3.75,1.0,2.5,1.6666666666666667,Final
12,2.0,0.501,3.0,2.001,2.0,0.001,1.0,1.75,3.75,1.0,2.5,1.6666666666666667,Starting
13,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
14,2.0,0.751,3.0,2.001,2.0,0.001,1.0,1.75,3.75,1.0,2.5,1.6666666666666667,Final
15,2.0,0.751,3.0,2.001,2.0,0.001,1.0,1.75,3.75,1.0,2.5,1.6666666666666667,Starting
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,Difference
17,2.0,0.751,3.0,2.001,2.0,0.001,1.0,2.0833333333333335,3.75,1.0,2.5,1.6666666666666667,Final
18,2.0,0.751,3.0,2.001,2.0,0.001,1.0,2.0833333333333335,3.75,1.0,2.5,1.6666666666666667,Starting
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,Difference
20,2.0,0.751,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Final
21,2.0,0.751,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Starting
22,0.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
23,2.0,0.251,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Final
24,2.0,0.251,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Starting
25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
26,2.0,0.501,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Final
27,2.0,0.501,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Starting
28,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
29,2.0,0.751,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Final
30,2.0,0.751,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Starting
31,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
32,2.0,1.001,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Final
33,2.0,1.001,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Starting
34,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
35,2.0,1.2009999999999998,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Final
36,2.0,1.2009999999999998,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Starting
37,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
38,2.0,1.534333333333333,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Final
39,2.0,1.534333333333333,3.0,2.001,2.0,0.001,1.0,2.416666666666667,3.75,1.0,2.5,1.6666666666666667,Starting
40,-1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,-1.0,Difference
41,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.0,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Final
42,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.0,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Starting
43,,,,,,,,,,,,,Difference
44,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.0,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Final
45,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.0,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Starting
46,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,Difference
47,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.3333333333333333,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Final
48,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.3333333333333333,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Starting
49,,,,,,,,,,,,,Difference
50,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.3333333333333333,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Final
51,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.3333333333333333,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Starting
52,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,Difference
53,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.8333333333333333,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Final
54,1.0,1.784333333333333,3.0,2.001,2.0,0.001,1.8333333333333333,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Starting
55,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,Difference
56,1.0,1.784333333333333,3.0,1.001,2.0,1.001,2.833333333333333,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Final
57,1.0,1.784333333333333,3.0,1.001,2.0,1.001,2.833333333333333,2.916666666666667,3.75,1.0,1.5,0.6666666666666667,Starting
58,-0.6,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,0.0,-0.6,Difference
59,0.4,2.284333333333333,3.0,1.001,2.0,1.001,3.333333333333333,2.916666666666667,3.75,0.001,1.5,0.06666666666666676,Final
60,0.4,2.284333333333333,3.0,1.001,2.0,1.001,3.333333333333333,2.916666666666667,3.75,0.001,1.5,0.06666666666666676,Starting
61,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,Difference
62,0.5111111111111111,2.284333333333333,3.0,1.001,2.0,1.001,3.333333333333333,2.916666666666667,3.75,0.501,1.5,0.06666666666666676,Final
63,0.5111111111111111,2.284333333333333,3.0,1.001,2.0,1.001,3.333333333333333,2.916666666666667,3.75,0.501,1.5,0.06666666666666676,Starting
64,,,,,,,,,,,,,Difference
65,0.5111111111111111,2.284333333333333,3.0,1.001,2.0,1.001,3.333333333333333,2.916666666666667,3.75,0.501,1.5,0.06666666666666676,Final
66,0.5111111111111111,2.284333333333333,3.0,1.001,2.0,1.001,3.333333333333333,2.916666666666667,3.75,0.501,1.5,0.06666666666666676,Starting
67,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Difference
68,0.7611111111111111,2.284333333333333,3.0,1.001,2.0,1.001,3.333333333333333,2.916666666666667,3.75,0.501,1.5,1.0666666666666669,Final
69,0.7611111111111111,2.284333333333333,3.0,1.001,2.0,1.001,3.333333333333333,2.916666666666667,3.75,0.501,1.5,1.0666666666666669,Starting
70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,Difference
