,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-1.1,"[2, 2, 1, 3, 0, 0, 5, 2, 6, 0, 6, 10]",-776.62,0.5,0
1,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-1.1,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-21.1,0.5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-101.01,0.5,0
3,4,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-21.1,0.5,0
4,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-21.1,0.5,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-21.1,0.5,0
6,7,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-21.1,0.5,0
7,8,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-101.3,0.5,0
8,9,0,"[1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-13.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,0.5,1
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-101.3,0.5,0
10,11,0,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",-3.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-1.2000000000000002,0.5,1
11,12,0,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",-103.1,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,0.5,Miss
12,13,0,"[1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-13.1,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,0.5,1
13,14,0,"[1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-13.1,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,0.5,1
14,15,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-2.2,0.5,Draw
15,16,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-12.1,0.5,0
16,17,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-12.1,0.5,0
17,18,0,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-12.1,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",-3.1,0.5,1
18,19,0,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",-3.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,1
19,20,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,1
20,21,0,"[1, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0]",-104.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,1
21,22,0,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-12.1,"[2, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0]",-105.1,0.5,0
22,23,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,Miss
23,24,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,1
24,25,0,"[1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-13.1,"[2, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0]",-105.1,0.5,0
25,26,0,"[1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-13.1,"[2, 0, 1, 2, 0, 0, 0, 0, 1, 1, 0, 0]",-105.1,0.5,0
26,27,0,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,0.5,Draw
27,28,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,Draw
28,29,0,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,0.5,Draw
29,30,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,Draw
30,31,0,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,0.5,Draw
31,32,0,"[1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-13.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,1
32,33,0,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,0.5,Draw
33,34,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,Draw
34,35,0,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,0.5,Draw
35,36,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-3.1,"[0, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-2.2,0.5,1
