,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,0.75,0.75,1.0,1.0,1.0,Difference
2,1.5,0.5,1.5,0.5,1.5,1.5,1.5,1.375,1.375,1.5,1.5,1.5,Final
3,1.5,0.5,1.5,0.5,1.5,1.5,1.5,1.375,1.375,1.5,1.5,1.5,Starting
4,-1.0,0.25,0.0,1.0,0.0,-1.0,-1.0,0.5,1.0,0.0,-1.0,-1.0,Difference
5,1.0,0.625,1.5,1.0,1.5,1.0,1.0,1.625,1.875,1.5,1.0,1.0,Final
6,1.0,0.625,1.5,1.0,1.5,1.0,1.0,1.625,1.875,1.5,1.0,1.0,Starting
7,0.0,0.0,0.0,0.0,-1.0,1.0,0.5,1.0,-1.0,-1.0,1.0,0.0,Difference
8,1.0,0.625,1.5,1.0,1.0,1.5,1.25,2.125,1.375,1.0,1.5,1.0,Final
9,1.0,0.625,1.5,1.0,1.0,1.5,1.25,2.125,1.375,1.0,1.5,1.0,Starting
10,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
11,1.0,0.75,1.5,1.0,1.0,1.5,1.25,2.125,1.375,1.0,1.5,1.0,Final
12,1.0,0.75,1.5,1.0,1.0,1.5,1.25,2.125,1.375,1.0,1.5,1.0,Starting
13,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,-1.0,0.0,1.0,-1.0,0.0,Difference
14,1.0,0.75,1.5,0.5,1.5,1.5,1.75,1.625,1.375,1.5,1.0,1.0,Final
15,1.0,0.75,1.5,0.5,1.5,1.5,1.75,1.625,1.375,1.5,1.0,1.0,Starting
16,-0.5,0.3333333333333333,0.0,-1.0,1.0,0.0,1.0,0.0,0.0,1.0,-1.0,-0.5,Difference
17,0.75,0.9166666666666666,1.5,0.001,2.0,1.5,2.25,1.625,1.375,2.0,0.5,0.75,Final
18,0.75,0.9166666666666666,1.5,0.001,2.0,1.5,2.25,1.625,1.375,2.0,0.5,0.75,Starting
