,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-140.04000000000002,"[10, 0, 15, 1, 1, 0, 8, 8, 8, 4, 4, 4]",-1052.19,0.5,0
1,2,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-140.04000000000002,"[2, 2, 0, 1, 0, 0, 0, 0, 2, 0, 2, 2]",-250.22,0.5,0
2,3,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-240.13,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-240.13,0.5,Draw
3,4,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-240.13,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-240.13,0.5,Draw
4,5,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-240.13,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-240.13,0.5,Draw
5,6,0,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-240.13,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-340.21999999999997,0.5,0
6,7,0,"[2, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 2]",-340.21999999999997,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-340.21999999999997,0.5,Draw
7,8,0,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-240.13,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-340.21999999999997,0.5,0
8,9,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-140.04000000000002,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-340.21999999999997,0.5,0
9,10,0,"[1, 2, 6, 0, 0, 1, 1, 2, 1, 1, 0, 1]",-230.2,"[1, 4, 3, 0, 0, 1, 2, 3, 1, 0, 1, 0]",-240.19,0.5,0
10,11,0,"[1, 4, 3, 0, 0, 1, 2, 3, 1, 0, 1, 0]",-240.19,"[3, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 3]",-450.22,0.5,Miss
11,12,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-240.13,"[1, 4, 3, 0, 0, 1, 2, 3, 1, 0, 1, 0]",-240.19,0.5,Draw
12,13,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-140.04000000000002,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-240.13,0.5,0
13,14,0,"[2, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 2]",-340.21999999999997,"[2, 2, 3, 0, 0, 1, 2, 1, 2, 1, 1, 1]",-330.28,0.5,1
14,15,0,"[3, 3, 0, 0, 0, 1, 2, 2, 1, 0, 3, 1]",-440.34999999999997,"[5, 1, 0, 0, 0, 1, 1, 0, 0, 1, 2, 5]",-660.3100000000001,0.5,0
15,16,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-240.13,"[1, 3, 3, 0, 0, 1, 2, 2, 2, 0, 1, 0]",-230.19000000000003,0.5,1
16,17,0,"[2, 0, 6, 0, 0, 1, 2, 0, 2, 0, 2, 2]",-320.29999999999995,"[2, 3, 6, 0, 0, 1, 2, 3, 1, 0, 2, 0]",-330.31999999999994,0.5,0
17,18,0,"[2, 3, 6, 0, 0, 1, 2, 3, 1, 0, 2, 0]",-330.31999999999994,"[5, 1, 0, 0, 0, 1, 2, 0, 1, 0, 5, 2]",-630.53,0.5,0
18,19,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-140.04000000000002,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-240.13,0.5,0
19,20,0,"[3, 1, 9, 0, 0, 1, 3, 2, 3, 0, 3, 0]",-410.4699999999999,"[4, 1, 6, 0, 0, 1, 2, 1, 0, 0, 2, 4]",-550.29,0.5,0
20,21,0,"[3, 2, 0, 0, 0, 1, 1, 1, 0, 1, 1, 3]",-450.22,"[3, 3, 0, 0, 0, 1, 2, 2, 1, 3, 0, 1]",-440.34999999999997,0.5,1
21,22,0,"[1, 0, 20, 0, 0, 1, 3, 4, 4, 1, 0, 0]",-200.40999999999997,"[2, 0, 18, 0, 0, 1, 3, 3, 4, 1, 1, 0]",-300.48,0.5,0
22,23,0,"[2, 2, 5, 0, 0, 1, 2, 2, 1, 1, 0, 2]",-340.2,"[2, 0, 6, 0, 0, 1, 0, 2, 2, 2, 0, 2]",-320.29999999999995,0.5,1
23,24,0,"[2, 3, 3, 0, 0, 1, 2, 2, 1, 2, 0, 1]",-340.2799999999999,"[2, 2, 5, 0, 0, 1, 2, 2, 1, 1, 0, 2]",-340.2,0.5,Draw
24,25,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-240.13,"[1, 3, 3, 0, 0, 1, 2, 2, 2, 0, 1, 0]",-230.19000000000003,0.5,1
25,26,0,"[2, 2, 5, 0, 0, 1, 1, 2, 1, 1, 0, 2]",-340.19,"[2, 2, 7, 0, 0, 1, 2, 2, 3, 0, 1, 1]",-330.23999999999995,0.5,Miss
26,27,0,"[1, 1, 11, 0, 0, 1, 1, 3, 2, 1, 0, 1]",-220.27,"[1, 0, 10, 0, 0, 1, 1, 3, 3, 1, 0, 1]",-210.26999999999998,0.5,1
27,28,0,"[2, 2, 0, 0, 0, 1, 0, 2, 0, 2, 0, 2]",-340.21999999999997,"[2, 2, 4, 0, 0, 1, 2, 2, 2, 0, 2, 0]",-320.2999999999999,0.5,1
28,29,0,"[0, 3, 18, 0, 0, 1, 5, 2, 2, 0, 0, 0]",-130.27000000000004,"[2, 2, 5, 0, 0, 1, 2, 1, 1, 0, 2, 1]",-330.28999999999996,0.5,0
29,30,0,"[2, 2, 5, 0, 0, 1, 2, 1, 1, 0, 2, 1]",-330.28999999999996,"[0, 2, 20, 0, 0, 1, 5, 4, 2, 0, 0, 0]",-120.31,0.5,Miss
30,31,0,"[2, 2, 0, 0, 0, 1, 2, 0, 0, 0, 2, 2]",-340.21999999999997,"[1, 1, 14, 0, 0, 1, 3, 2, 0, 1, 0, 1]",-220.29,0.5,1
31,32,0,"[0, 2, 12, 0, 0, 1, 3, 2, 2, 0, 0, 0]",-120.19,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-240.13,0.5,0
32,33,0,"[1, 3, 0, 0, 0, 1, 1, 2, 0, 1, 0, 1]",-240.13,"[1, 2, 6, 0, 0, 1, 2, 1, 1, 0, 1, 1]",-230.2,0.5,1
33,34,0,"[1, 3, 8, 0, 0, 1, 3, 2, 0, 1, 0, 0]",-230.23000000000002,"[1, 3, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1]",-240.13,0.5,0
34,35,0,"[0, 2, 15, 0, 0, 1, 3, 3, 0, 0, 0, 0]",-120.21000000000001,"[0, 3, 12, 0, 0, 1, 3, 3, 1, 0, 0, 0]",-130.19,0.5,0
35,36,0,"[0, 3, 8, 0, 0, 1, 3, 2, 0, 0, 0, 0]",-130.13,"[0, 2, 14, 0, 0, 1, 4, 2, 0, 0, 0, 0]",-120.2,0.5,1
36,37,0,"[0, 3, 6, 0, 0, 1, 3, 2, 1, 0, 0, 0]",-130.12,"[0, 2, 12, 0, 0, 1, 4, 2, 1, 0, 0, 0]",-120.19000000000001,0.5,1
37,38,0,"[0, 4, 0, 0, 0, 1, 2, 2, 0, 0, 0, 0]",-140.04000000000002,"[0, 3, 8, 0, 0, 1, 5, 2, 0, 0, 0, 0]",-130.15,0.5,1
38,39,0,"[0, 1, 20, 0, 0, 1, 4, 3, 0, 0, 0, 0]",-110.27000000000001,"[0, 2, 13, 0, 0, 1, 5, 2, 1, 0, 0, 0]",-120.21,0.5,0
39,40,0,"[0, 1, 25, 0, 0, 1, 5, 2, 1, 0, 0, 0]",-110.33,"[0, 2, 21, 0, 0, 1, 5, 2, 0, 0, 0, 0]",-120.28,0.5,0
40,41,0,"[0, 2, 15, 0, 0, 1, 5, 2, 0, 0, 0, 0]",-120.22,"[0, 0, 25, 0, 0, 1, 5, 4, 0, 0, 0, 0]",-100.34,0.5,1
41,42,0,"[0, 1, 23, 0, 0, 1, 5, 3, 0, 0, 0, 0]",-110.31,"[0, 2, 15, 0, 0, 1, 5, 2, 0, 0, 0, 0]",-120.22,0.5,0
42,43,0,"[0, 0, 24, 0, 0, 1, 5, 4, 0, 0, 0, 0]",-100.33,"[0, 1, 20, 0, 0, 1, 4, 3, 0, 0, 0, 0]",-110.27000000000001,0.5,0
43,44,0,"[0, 1, 20, 0, 0, 1, 4, 3, 0, 0, 0, 0]",-110.27000000000001,"[0, 0, 24, 0, 0, 1, 4, 4, 1, 0, 0, 0]",-100.33000000000001,0.5,1
44,45,0,"[0, 1, 21, 0, 0, 1, 4, 3, 0, 0, 0, 0]",-110.28000000000002,"[0, 0, 44, 0, 0, 1, 5, 4, 1, 0, 0, 0]",-100.54,0.5,1
45,46,0,"[0, 0, 26, 0, 0, 1, 6, 4, 0, 0, 0, 0]",-100.36000000000001,"[0, 0, 25, 0, 0, 1, 8, 4, 0, 0, 0, 0]",-100.37,0.5,Draw
46,47,0,"[0, 0, 18, 0, 0, 1, 6, 2, 3, 0, 0, 0]",-100.29,"[0, 0, 46, 0, 0, 1, 6, 3, 2, 0, 0, 0]",-100.57,0.5,0
47,48,0,"[0, 1, 19, 0, 0, 1, 4, 3, 0, 0, 0, 0]",-110.26,"[0, 2, 14, 0, 0, 1, 5, 2, 0, 0, 0, 0]",-120.21,0.5,0
48,49,0,"[0, 0, 24, 0, 0, 1, 5, 3, 2, 0, 0, 0]",-100.33999999999999,"[0, 0, 26, 0, 0, 1, 5, 4, 1, 0, 0, 0]",-100.36000000000001,0.5,Draw
49,50,0,"[1, 0, 18, 0, 0, 1, 4, 2, 2, 1, 0, 0]",-200.36,"[1, 0, 16, 0, 0, 1, 5, 2, 2, 1, 0, 0]",-200.35000000000002,0.5,Draw
50,51,0,"[1, 0, 15, 0, 0, 1, 4, 2, 2, 1, 0, 0]",-200.33,"[1, 0, 11, 0, 0, 1, 3, 2, 3, 1, 0, 0]",-200.29000000000002,0.5,Draw
51,52,0,"[0, 1, 21, 0, 0, 1, 3, 4, 0, 0, 0, 0]",-110.28000000000002,"[0, 1, 16, 0, 0, 1, 3, 3, 2, 0, 0, 0]",-110.24,0.5,Draw
52,53,0,"[1, 0, 19, 0, 0, 1, 4, 3, 1, 0, 1, 0]",-200.36999999999998,"[1, 0, 22, 0, 0, 1, 4, 4, 0, 0, 1, 0]",-200.39999999999998,0.5,Draw
53,54,0,"[0, 1, 18, 0, 0, 1, 4, 3, 0, 0, 0, 0]",-110.25000000000001,"[0, 1, 17, 0, 0, 1, 4, 3, 1, 0, 0, 0]",-110.25000000000001,0.5,Draw
54,55,0,"[1, 0, 18, 0, 0, 1, 4, 2, 2, 0, 1, 0]",-200.36,"[1, 0, 21, 0, 0, 1, 4, 3, 1, 0, 1, 0]",-200.38999999999996,0.5,Draw
55,56,0,"[0, 2, 14, 0, 0, 1, 4, 2, 0, 0, 0, 0]",-120.2,"[0, 2, 12, 0, 0, 1, 3, 2, 1, 0, 0, 0]",-120.18,0.5,Miss
