,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-0.5,1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,Difference
2,6.0,0.001,6.0,6.0,6.0,0.001,0.001,0.001,6.0,6.0,6.0,6.0,Final
3,6.0,0.001,6.0,6.0,6.0,0.001,0.001,0.001,6.0,6.0,6.0,6.0,Starting
4,1.0,0.2,1.0,1.0,0.0,-1.0,-1.0,0.5,1.0,0.0,1.0,0.0,Difference
5,11.0,1.001,11.0,11.0,6.0,0.001,0.001,2.501,11.0,6.0,11.0,6.0,Final
6,11.0,1.001,11.0,11.0,6.0,0.001,0.001,2.501,11.0,6.0,11.0,6.0,Starting
7,0.0,-0.25,0.0,0.0,0.0,0.0,-0.5,0.5,0.0,1.0,-1.0,0.0,Difference
8,11.0,0.001,11.0,11.0,6.0,0.001,0.001,5.0009999999999994,11.0,11.0,6.0,6.0,Final
9,11.0,0.001,11.0,11.0,6.0,0.001,0.001,5.0009999999999994,11.0,11.0,6.0,6.0,Starting
10,-0.5,0.3333333333333333,0.0,0.0,0.0,0.0,-0.5,1.0,0.0,1.0,-1.0,-0.5,Difference
11,8.5,1.6676666666666664,11.0,11.0,6.0,0.001,0.001,10.001,11.0,16.0,1.0,3.5,Final
12,8.5,1.6676666666666664,11.0,11.0,6.0,0.001,0.001,10.001,11.0,16.0,1.0,3.5,Starting
13,-0.5,-0.4,0.0,0.0,0.0,0.0,-0.8,0.0,-1.0,1.0,-1.0,0.0,Difference
14,6.0,0.001,11.0,11.0,6.0,0.001,0.001,10.001,6.0,21.0,0.001,3.5,Final
15,6.0,0.001,11.0,11.0,6.0,0.001,0.001,10.001,6.0,21.0,0.001,3.5,Starting
16,0.0,-0.3333333333333333,0.0,0.0,-1.0,1.0,-0.6,1.0,-1.0,0.0,0.0,0.0,Difference
17,6.0,0.001,11.0,11.0,1.0,5.001,0.001,15.001,1.0,21.0,0.001,3.5,Final
18,6.0,0.001,11.0,11.0,1.0,5.001,0.001,15.001,1.0,21.0,0.001,3.5,Starting
