,iter,weights
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 0.5, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.75, 'other_row_cons': 1.75, 'other_block_cons': 2.0, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
2,3,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 3.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.75, 'other_row_cons': 1.75, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 1.6666666666666667}"
3,4,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 0.75, 'other_row_cons': 1.75, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 1.6666666666666667}"
4,5,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.0833333333333333, 'other_row_cons': 1.75, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 1.6666666666666667}"
5,6,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.5833333333333333, 'other_row_cons': 1.75, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 1.6666666666666667}"
6,7,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.583333333333333, 'other_row_cons': 1.75, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 1.6666666666666667}"
7,8,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.583333333333333, 'other_row_cons': 2.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 1.6666666666666667}"
8,9,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.583333333333333, 'other_row_cons': 2.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 1.6666666666666667}"
9,10,"{'number_adjacent_facts_other_value': 2.5, 'number_other_facts_same_value': 1.5, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.583333333333333, 'other_row_cons': 2.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 2.166666666666667}"
10,11,"{'number_adjacent_facts_other_value': 2.5, 'number_other_facts_same_value': 1.75, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.583333333333333, 'other_row_cons': 2.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 2.166666666666667}"
11,12,"{'number_adjacent_facts_other_value': 2.5, 'number_other_facts_same_value': 2.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.583333333333333, 'other_row_cons': 2.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 2.166666666666667}"
12,13,"{'number_adjacent_facts_other_value': 2.5, 'number_other_facts_same_value': 2.2, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.583333333333333, 'other_row_cons': 2.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 2.166666666666667}"
13,14,"{'number_adjacent_facts_other_value': 2.5, 'number_other_facts_same_value': 2.5333333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.583333333333333, 'other_row_cons': 2.0833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 2.5, 'number_adjacent_block_facts': 2.166666666666667}"
14,15,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 2.2833333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.583333333333333, 'other_row_cons': 1.5833333333333335, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
15,16,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 2.7833333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.583333333333333, 'other_row_cons': 2.3333333333333335, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
16,17,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 2.7833333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.583333333333333, 'other_row_cons': 2.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
17,18,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.0333333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.583333333333333, 'other_row_cons': 2.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
18,19,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.2833333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.583333333333333, 'other_row_cons': 2.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
19,20,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.2833333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.583333333333333, 'other_row_cons': 3.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
20,21,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.2833333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.2499999999999998, 'other_row_cons': 3.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
21,22,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.2833333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.2499999999999998, 'other_row_cons': 3.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
22,23,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.2833333333333337, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.2499999999999998, 'other_row_cons': 3.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
23,24,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.2833333333333337, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 1.2499999999999998, 'other_row_cons': 3.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
24,25,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.2833333333333337, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.25, 'other_row_cons': 3.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
25,26,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.2833333333333337, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 2.0, 'adjacent_block_used': 1.001, 'other_col_cons': 2.25, 'other_row_cons': 3.666666666666667, 'other_block_cons': 3.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
26,27,"{'number_adjacent_facts_other_value': 3.5, 'number_other_facts_same_value': 3.2833333333333337, 'number_other_facts_other_value': 4.0, 'adjacent_col_used': 5.0, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 2.25, 'other_row_cons': 2.666666666666667, 'other_block_cons': 4.0, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 3.5, 'number_adjacent_block_facts': 3.166666666666667}"
