,iter,weights
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 2.0, 'number_other_facts_same_value': 0.5, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 0.001, 'adjacent_row_used': 2.0, 'adjacent_block_used': 2.0, 'other_col_cons': 2.0, 'other_row_cons': 1.75, 'other_block_cons': 1.75, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 2.0}"
2,3,"{'number_adjacent_facts_other_value': 2.571428571428571, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 1.0, 'adjacent_col_used': 0.001, 'adjacent_row_used': 3.0, 'adjacent_block_used': 3.0, 'other_col_cons': 2.875, 'other_row_cons': 2.625, 'other_block_cons': 0.75, 'number_adjacent_row_facts': 3.0, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 2.6}"
3,4,"{'number_adjacent_facts_other_value': 2.571428571428571, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 1.0, 'adjacent_col_used': 0.001, 'adjacent_row_used': 3.0, 'adjacent_block_used': 4.0, 'other_col_cons': 3.875, 'other_row_cons': 2.625, 'other_block_cons': 0.001, 'number_adjacent_row_facts': 3.0, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 2.6}"
4,5,"{'number_adjacent_facts_other_value': 2.571428571428571, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 0.001, 'adjacent_row_used': 4.0, 'adjacent_block_used': 4.0, 'other_col_cons': 3.875, 'other_row_cons': 2.625, 'other_block_cons': 0.751, 'number_adjacent_row_facts': 4.0, 'number_adjacent_col_facts': 1.0, 'number_adjacent_block_facts': 2.1}"
5,6,"{'number_adjacent_facts_other_value': 2.571428571428571, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 1.001, 'adjacent_row_used': 3.0, 'adjacent_block_used': 4.0, 'other_col_cons': 3.875, 'other_row_cons': 3.625, 'other_block_cons': 0.751, 'number_adjacent_row_facts': 4.0, 'number_adjacent_col_facts': 1.0, 'number_adjacent_block_facts': 2.1}"
6,7,"{'number_adjacent_facts_other_value': 2.571428571428571, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 2.001, 'adjacent_row_used': 3.0, 'adjacent_block_used': 4.0, 'other_col_cons': 3.875, 'other_row_cons': 3.625, 'other_block_cons': 0.751, 'number_adjacent_row_facts': 3.5, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 1.6}"
7,8,"{'number_adjacent_facts_other_value': 2.571428571428571, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 3.001, 'adjacent_row_used': 2.0, 'adjacent_block_used': 4.0, 'other_col_cons': 3.875, 'other_row_cons': 4.625, 'other_block_cons': 0.751, 'number_adjacent_row_facts': 3.5, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 1.6}"
8,9,"{'number_adjacent_facts_other_value': 2.571428571428571, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0009999999999994, 'adjacent_row_used': 2.0, 'adjacent_block_used': 3.0, 'other_col_cons': 3.875, 'other_row_cons': 4.625, 'other_block_cons': 1.751, 'number_adjacent_row_facts': 3.5, 'number_adjacent_col_facts': 2.0, 'number_adjacent_block_facts': 1.6}"
9,10,"{'number_adjacent_facts_other_value': 1.8214285714285712, 'number_other_facts_same_value': 1.3333333333333333, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0009999999999994, 'adjacent_row_used': 2.0, 'adjacent_block_used': 3.0, 'other_col_cons': 3.875, 'other_row_cons': 4.625, 'other_block_cons': 2.251, 'number_adjacent_row_facts': 3.5, 'number_adjacent_col_facts': 1.25, 'number_adjacent_block_facts': 1.6}"
