,adjacent_negative_facts,adjacent_facts_from_clue,adjacent_facts_from_bijectivity,adjacent_facts_from_transitivity,other_negative_facts,other_positive_facts,adjacent_clue,adjacent_bijectivity,adjacent_transitivity,other_clue,other_transitivity,other_bijectivity,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,0.0,0.5,0.6666666666666666,0.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,Difference
2,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,0.001,2.0,2.0,2.0,2.0,Final
3,2.0,1.0,1.5,1.6666666666666665,1.0,1.0,2.0,0.001,2.0,2.0,2.0,2.0,Starting
4,1.0,0.0,0.6666666666666666,0.75,0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,Difference
5,3.0,1.0,2.1666666666666665,2.4166666666666665,1.0,1.0,2.0,0.001,3.0,3.0,3.0,3.0,Final
6,3.0,1.0,2.1666666666666665,2.4166666666666665,1.0,1.0,2.0,0.001,3.0,3.0,3.0,3.0,Starting
7,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,Difference
8,4.0,2.0,3.1666666666666665,3.4166666666666665,1.0,1.0,2.0,1.001,2.0,3.0,3.0,3.0,Final
9,4.0,2.0,3.1666666666666665,3.4166666666666665,1.0,1.0,2.0,1.001,2.0,3.0,3.0,3.0,Starting
10,,,,,,,,,,,,,Difference
11,4.0,2.0,3.1666666666666665,3.4166666666666665,1.0,1.0,2.0,1.001,2.0,3.0,3.0,3.0,Final
12,4.0,2.0,3.1666666666666665,3.4166666666666665,1.0,1.0,2.0,1.001,2.0,3.0,3.0,3.0,Starting
13,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,Difference
14,4.0,2.0,3.1666666666666665,3.4166666666666665,0.001,1.0,2.0,2.001,1.0,3.0,3.0,2.0,Final
15,4.0,2.0,3.1666666666666665,3.4166666666666665,0.001,1.0,2.0,2.001,1.0,3.0,3.0,2.0,Starting
16,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,Difference
17,4.0,2.0,3.1666666666666665,3.4166666666666665,0.001,1.0,2.0,3.001,0.001,3.0,3.0,1.0,Final
18,4.0,2.0,3.1666666666666665,3.4166666666666665,0.001,1.0,2.0,3.001,0.001,3.0,3.0,1.0,Starting
19,0.0,1.0,0.0,1.0,0.0,0.0,-0.75,0.0,-1.0,0.0,0.0,-0.5,Difference
20,4.0,3.0,3.1666666666666665,4.416666666666666,0.001,1.0,1.25,3.001,0.001,3.0,3.0,0.5,Final
21,4.0,3.0,3.1666666666666665,4.416666666666666,0.001,1.0,1.25,3.001,0.001,3.0,3.0,0.5,Starting
22,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.8333333333333334,0.6666666666666666,0.0,-0.6666666666666666,Difference
23,4.0,3.0,3.1666666666666665,3.416666666666666,0.001,1.0,2.25,3.001,0.8343333333333334,3.6666666666666665,3.0,0.001,Final
24,4.0,3.0,3.1666666666666665,3.416666666666666,0.001,1.0,2.25,3.001,0.8343333333333334,3.6666666666666665,3.0,0.001,Starting
25,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.7,Difference
26,4.0,3.0,3.1666666666666665,2.416666666666666,0.001,1.0,3.25,3.001,0.8343333333333334,4.333333333333333,3.0,0.701,Final
27,4.0,3.0,3.1666666666666665,2.416666666666666,0.001,1.0,3.25,3.001,0.8343333333333334,4.333333333333333,3.0,0.701,Starting
28,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.5,Difference
29,4.0,3.0,3.1666666666666665,2.416666666666666,1.001,1.0,3.25,3.001,0.8343333333333334,4.833333333333333,3.0,0.20099999999999996,Final
30,4.0,3.0,3.1666666666666665,2.416666666666666,1.001,1.0,3.25,3.001,0.8343333333333334,4.833333333333333,3.0,0.20099999999999996,Starting
31,,,,,,,,,,,,,Difference
32,4.0,3.0,3.1666666666666665,2.416666666666666,1.001,1.0,3.25,3.001,0.8343333333333334,4.833333333333333,3.0,0.20099999999999996,Final
33,4.0,3.0,3.1666666666666665,2.416666666666666,1.001,1.0,3.25,3.001,0.8343333333333334,4.833333333333333,3.0,0.20099999999999996,Starting
34,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,Difference
35,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,2.25,3.001,0.8343333333333334,4.833333333333333,3.0,0.20099999999999996,Final
36,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,2.25,3.001,0.8343333333333334,4.833333333333333,3.0,0.20099999999999996,Starting
37,0.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.3333333333333333,Difference
38,4.0,3.0,3.166666666666666,1.416666666666666,1.001,1.0,3.25,3.001,0.8343333333333334,5.833333333333333,3.0,0.5343333333333333,Final
39,4.0,3.0,3.166666666666666,1.416666666666666,1.001,1.0,3.25,3.001,0.8343333333333334,5.833333333333333,3.0,0.5343333333333333,Starting
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-1.0,Difference
41,4.0,3.0,3.166666666666666,1.416666666666666,1.001,1.0,3.25,4.0009999999999994,0.001,5.833333333333333,3.0,0.001,Final
42,4.0,3.0,3.166666666666666,1.416666666666666,1.001,1.0,3.25,4.0009999999999994,0.001,5.833333333333333,3.0,0.001,Starting
43,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,0.0,-0.8333333333333334,0.0,0.0,-0.8,Difference
44,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,2.25,4.0009999999999994,0.001,5.833333333333333,3.0,0.001,Final
45,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,2.25,4.0009999999999994,0.001,5.833333333333333,3.0,0.001,Starting
46,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.8333333333333334,1.0,0.0,-1.0,Difference
47,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,4.0009999999999994,0.001,6.833333333333333,3.0,0.001,Final
48,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,4.0009999999999994,0.001,6.833333333333333,3.0,0.001,Starting
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,-1.0,Difference
50,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,5.0009999999999994,0.8343333333333334,6.833333333333333,3.0,0.001,Final
51,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,5.0009999999999994,0.8343333333333334,6.833333333333333,3.0,0.001,Starting
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.8,Difference
53,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,6.0009999999999994,0.001,6.833333333333333,3.0,0.801,Final
54,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,6.0009999999999994,0.001,6.833333333333333,3.0,0.801,Starting
55,,,,,,,,,,,,,Difference
56,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,6.0009999999999994,0.001,6.833333333333333,3.0,0.801,Final
57,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,6.0009999999999994,0.001,6.833333333333333,3.0,0.801,Starting
58,,,,,,,,,,,,,Difference
59,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,6.0009999999999994,0.001,6.833333333333333,3.0,0.801,Final
60,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,6.0009999999999994,0.001,6.833333333333333,3.0,0.801,Starting
61,,,,,,,,,,,,,Difference
62,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,6.0009999999999994,0.001,6.833333333333333,3.0,0.801,Final
63,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,1.25,6.0009999999999994,0.001,6.833333333333333,3.0,0.801,Starting
64,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.8333333333333334,1.0,0.0,-0.5,Difference
65,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,0.25,6.0009999999999994,0.8343333333333334,7.833333333333333,3.0,0.30100000000000005,Final
66,4.0,3.0,4.166666666666666,2.416666666666666,1.001,1.0,0.25,6.0009999999999994,0.8343333333333334,7.833333333333333,3.0,0.30100000000000005,Starting
67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,-0.5,Difference
