,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11,"[2, 1, 2, 3, 0, 0, 2, 0, 6, 6, 6, 10]",-632,5,0
1,2,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-20,5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]",-102,5,Miss
3,4,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-101,"[0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 0, 0]",-12,5,1
4,5,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]",-102,5,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-11,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 0]",-90,5,0
6,7,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1]",-22,"[0, 0, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]",-13,5,1
7,8,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 0, 0, 1, 0, 0, 0, 2, 0, 1, 0, 1]",-23,5,0
8,9,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-130,5,Miss
9,10,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-20,5,0
10,11,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-221,5,0
11,12,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-22,"[4, 0, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0]",-446,5,0
12,13,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-22,"[4, 0, 4, 4, 0, 0, 0, 2, 0, 0, 0, 0]",-446,5,0
13,14,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-22,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",-220,5,0
14,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-20,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",-102,5,0
15,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-20,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-22,5,0
16,17,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-21,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0]",-41,5,0
17,18,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-21,"[0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 2, 0]",-41,5,0
18,19,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-21,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-21,5,Draw
19,20,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-21,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-21,5,Draw
20,21,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-21,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-21,5,Draw
21,22,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-21,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-21,5,Draw
22,23,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-31,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-42,5,0
23,24,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-31,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-42,5,0
24,25,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-31,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1]",-22,5,1
25,26,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-31,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1]",-22,5,1
26,27,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1]",-22,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-31,5,0
27,28,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-31,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",-102,5,0
28,29,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-31,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-31,5,Draw
29,30,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-31,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-22,5,1
30,31,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-22,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0, 0]",-31,5,0
31,32,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-22,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",-102,5,0
32,33,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-22,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-121,5,0
33,34,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-22,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 3]",-44,5,0
34,35,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-22,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 3]",-44,5,0
35,36,0,"[0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-22,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 3]",-44,5,0
36,37,0,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1]",-32,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0, 3]",-44,5,0
37,38,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-31,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-121,5,0
38,39,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-40,5,0
39,40,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-40,5,0
40,41,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",-103,5,0
41,42,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-40,5,0
42,43,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 0, 1, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-32,5,0
43,44,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 1]",-103,5,0
44,45,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-40,5,0
45,46,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-12,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-40,5,0
