,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-100.01,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 1, 1]",-311.21,0.5,0
1,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-100.01,"[1, 1, 1, 2, 1, 0, 1, 1, 0, 0, 1, 1]",-311.40999999999997,0.5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-100.02000000000001,"[1, 1, 1, 2, 1, 0, 1, 1, 0, 0, 1, 0]",-311.4,0.5,0
3,4,0,"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0]",-100.21,"[2, 1, 1, 3, 1, 0, 1, 0, 2, 0, 1, 1]",-211.63,0.5,Miss
4,5,0,"[1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0]",-200.20999999999998,"[2, 1, 0, 3, 1, 0, 1, 0, 0, 0, 1, 1]",-111.61,0.5,1
5,6,0,"[1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-100.31,"[2, 2, 1, 3, 0, 0, 1, 0, 0, 1, 1, 1]",-411.51,0.5,0
6,7,0,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 1]",-100.22000000000001,"[2, 2, 1, 3, 1, 0, 1, 0, 0, 1, 0, 0]",-410.6,0.5,0
7,8,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-0.31000000000000005,"[2, 1, 1, 3, 1, 0, 1, 0, 0, 1, 0, 1]",-310.61,0.5,0
8,9,0,"[1, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-100.31,"[0, 0, 1, 1, 1, 0, 0, 0, 2, 1, 0, 1]",-200.22999999999996,0.5,0
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-100.02000000000001,"[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",-210.29999999999998,0.5,0
10,11,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-100.02000000000001,"[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",-210.29999999999998,0.5,0
11,12,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-100.02000000000001,"[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",-210.29999999999998,0.5,0
12,13,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-100.02000000000001,"[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]",-210.29999999999998,0.5,0
13,14,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-100.02000000000001,"[1, 1, 1, 2, 1, 0, 0, 0, 2, 0, 0, 2]",-200.44,0.5,Miss
14,15,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-100.12,"[1, 1, 1, 2, 1, 0, 0, 0, 2, 0, 0, 2]",-200.44,0.5,0
15,16,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-0.31000000000000005,"[0, 1, 1, 3, 1, 0, 0, 0, 2, 0, 0, 1]",-200.43,0.5,Miss
16,17,0,"[1, 0, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-0.31000000000000005,"[0, 1, 1, 3, 1, 0, 0, 0, 2, 0, 0, 1]",-200.43,0.5,0
17,18,0,"[0, 1, 0, 2, 0, 0, 0, 0, 1, 0, 0, 0]",-100.21000000000001,"[1, 0, 1, 3, 1, 0, 0, 0, 2, 0, 0, 1]",-100.52999999999999,0.5,0
