,number_adjacent_facts_other_value,number_other_facts_same_value,number_other_facts_other_value,adjacent_col_used,adjacent_row_used,adjacent_block_used,other_col_cons,other_row_cons,other_block_cons,number_adjacent_row_facts,number_adjacent_col_facts,number_adjacent_block_facts,name
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Starting
1,1.0,-1.0,1.0,1.0,1.0,-1.0,0.75,0.75,1.0,1.0,1.0,1.0,Difference
2,6.0,0.001,6.0,6.0,6.0,0.001,4.75,4.75,6.0,6.0,6.0,6.0,Final
3,6.0,0.001,6.0,6.0,6.0,0.001,4.75,4.75,6.0,6.0,6.0,6.0,Starting
4,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
5,6.0,0.001,6.333333333333333,6.0,6.0,0.001,4.75,4.75,6.0,6.0,6.0,6.0,Final
6,6.0,0.001,6.333333333333333,6.0,6.0,0.001,4.75,4.75,6.0,6.0,6.0,6.0,Starting
7,0.0,0.5,0.0,0.0,0.0,0.0,0.125,-0.125,0.0,-0.25,0.25,0.0,Difference
8,6.0,2.501,6.333333333333333,6.0,6.0,0.001,5.375,4.125,6.0,4.75,7.25,6.0,Final
9,6.0,2.501,6.333333333333333,6.0,6.0,0.001,5.375,4.125,6.0,4.75,7.25,6.0,Starting
10,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
11,6.0,3.3343333333333334,6.333333333333333,6.0,6.0,0.001,5.375,4.125,6.0,4.75,7.25,6.0,Final
12,6.0,3.3343333333333334,6.333333333333333,6.0,6.0,0.001,5.375,4.125,6.0,4.75,7.25,6.0,Starting
13,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
14,6.0,3.3343333333333334,6.666666666666666,6.0,6.0,0.001,5.375,4.125,6.0,4.75,7.25,6.0,Final
15,6.0,3.3343333333333334,6.666666666666666,6.0,6.0,0.001,5.375,4.125,6.0,4.75,7.25,6.0,Starting
16,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
17,6.0,3.3343333333333334,6.999999999999999,6.0,6.0,0.001,5.375,4.125,6.0,4.75,7.25,6.0,Final
18,6.0,3.3343333333333334,6.999999999999999,6.0,6.0,0.001,5.375,4.125,6.0,4.75,7.25,6.0,Starting
19,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Difference
