,iter,weights
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 1.5, 'number_other_facts_same_value': 0.75, 'number_other_facts_other_value': 1.5, 'adjacent_col_used': 0.5, 'adjacent_row_used': 1.5, 'adjacent_block_used': 1.5, 'other_col_cons': 1.5, 'other_row_cons': 1.375, 'other_block_cons': 1.375, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 1.5}"
2,3,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 0.001, 'adjacent_row_used': 2.0, 'adjacent_block_used': 2.0, 'other_col_cons': 1.9375, 'other_row_cons': 1.8125, 'other_block_cons': 0.875, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 1.25, 'number_adjacent_block_facts': 1.8}"
3,4,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 0.501, 'adjacent_row_used': 2.0, 'adjacent_block_used': 1.5, 'other_col_cons': 1.4375, 'other_row_cons': 1.8125, 'other_block_cons': 1.375, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 1.25, 'number_adjacent_block_facts': 1.8}"
4,5,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 2.0, 'adjacent_block_used': 1.0, 'other_col_cons': 0.9375, 'other_row_cons': 1.8125, 'other_block_cons': 1.875, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 1.25, 'number_adjacent_block_facts': 1.8}"
5,6,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 1.9230769230769231, 'adjacent_col_used': 1.001, 'adjacent_row_used': 2.5, 'adjacent_block_used': 0.5, 'other_col_cons': 0.9375, 'other_row_cons': 1.3125, 'other_block_cons': 2.375, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 1.25, 'number_adjacent_block_facts': 1.8}"
6,7,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.4230769230769234, 'adjacent_col_used': 1.501, 'adjacent_row_used': 2.5, 'adjacent_block_used': 0.5, 'other_col_cons': 0.9375, 'other_row_cons': 1.3125, 'other_block_cons': 2.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.75, 'number_adjacent_block_facts': 1.55}"
7,8,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.4230769230769234, 'adjacent_col_used': 1.501, 'adjacent_row_used': 3.0, 'adjacent_block_used': 0.001, 'other_col_cons': 0.9375, 'other_row_cons': 0.8125, 'other_block_cons': 2.875, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.75, 'number_adjacent_block_facts': 1.55}"
8,9,"{'number_adjacent_facts_other_value': 1.7857142857142856, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.9230769230769234, 'adjacent_col_used': 1.501, 'adjacent_row_used': 3.5, 'adjacent_block_used': 0.001, 'other_col_cons': 0.9375, 'other_row_cons': 0.8125, 'other_block_cons': 2.875, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 1.45}"
9,10,"{'number_adjacent_facts_other_value': 1.4107142857142856, 'number_other_facts_same_value': 1.1666666666666667, 'number_other_facts_other_value': 2.9230769230769234, 'adjacent_col_used': 1.001, 'adjacent_row_used': 3.5, 'adjacent_block_used': 0.501, 'other_col_cons': 1.4375, 'other_row_cons': 0.8125, 'other_block_cons': 2.375, 'number_adjacent_row_facts': 2.0, 'number_adjacent_col_facts': 1.125, 'number_adjacent_block_facts': 1.45}"
