,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[2, 1, 2, 3, 0, 0, 2, 0, 6, 6, 6, 10]",-1416.8,0.5,0
1,2,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[3, 0, 3, 4, 0, 0, 0, 0, 6, 8, 6, 10]",-1426.9,0.5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-10.1,"[2, 3, 1, 3, 0, 0, 1, 2, 0, 0, 0, 0]",-460.2,0.5,0
3,4,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0]",-20.0,"[0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1]",-220.1,0.5,0
4,5,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 1]",-320.1,0.5,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-20.0,"[0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]",-230.0,0.5,0
6,7,0,"[1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]",-120.1,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-220.0,0.5,0
7,8,0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-30.1,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,0.5,0
8,9,0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-30.1,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 3, 0, 1]",-150.0,0.5,Miss
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-20.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-120.1,0.5,0
10,11,0,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-130.1,"[0, 1, 1, 1, 0, 0, 0, 2, 0, 0, 0, 0]",-230.0,0.5,0
11,12,0,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-130.1,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,0.5,Miss
12,13,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-130.0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,Miss
13,14,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[0, 1, 1, 1, 0, 0, 0, 0, 2, 6, 0, 1]",-370.2,0.5,0
14,15,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1]",-130.0,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1]",-140.0,0.5,0
15,16,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-10.1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 8, 0, 0]",-90.0,0.5,Miss
16,17,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-20.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 1]",-180.1,0.5,0
17,18,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 2]",-410.1,0.5,0
18,19,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0]",-140.1,0.5,1
19,20,0,"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0]",-30.1,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 1]",-140.0,0.5,0
20,21,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-20.0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 1]",-122.1,0.5,0
21,22,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-20.0,"[0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0]",-30.0,0.5,0
22,23,0,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-130.1,"[0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]",-230.0,0.5,0
23,24,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-20.1,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1]",-120.1,0.5,0
24,25,0,"[0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1]",-220.0,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-140.2,0.5,1
25,26,0,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-40.2,0.5,1
26,27,0,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-40.2,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 7, 0, 0]",-190.0,0.5,0
27,28,0,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-140.2,0.5,1
28,29,0,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-40.2,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-120.0,0.5,0
29,30,0,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 1, 1]",-141.0,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 7, 0, 0]",-210.2,0.5,0
30,31,0,"[0, 1, 0, 1, 0, 0, 1, 2, 2, 0, 0, 0]",-140.2,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]",-220.0,0.5,0
31,32,0,"[0, 0, 0, 1, 0, 0, 0, 2, 2, 1, 0, 0]",-40.2,"[0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1]",-120.0,0.5,0
32,33,0,"[1, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 0]",-40.3,"[1, 1, 0, 1, 0, 0, 1, 2, 0, 6, 0, 0]",-200.1,0.5,0
33,34,0,"[1, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 0]",-40.3,"[0, 0, 0, 1, 0, 0, 1, 1, 4, 1, 0, 0]",-40.4,0.5,Draw
34,35,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-20.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-110.1,0.5,0
35,36,0,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.200000000000003,"[0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 2, 0]",-42.1,0.5,0
36,37,0,"[0, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0]",-30.2,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.200000000000003,0.5,Draw
37,38,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-20.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-110.1,0.5,0
38,39,0,"[1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0]",-130.1,"[1, 0, 0, 1, 0, 0, 1, 2, 2, 1, 0, 0]",-50.300000000000004,0.5,1
39,40,0,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.200000000000003,"[0, 0, 0, 0, 3, 0, 0, 2, 2, 2, 0, 0]",-340.2,0.5,0
40,41,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-20.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-110.1,0.5,0
41,42,0,"[1, 0, 0, 1, 0, 0, 1, 1, 2, 1, 0, 0]",-40.3,"[1, 1, 0, 1, 0, 0, 1, 2, 0, 0, 0, 0]",-140.1,0.5,0
42,43,0,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0]",-20.1,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 0, 1]",-180.1,0.5,0
43,44,0,"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",-20.200000000000003,"[0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1]",-140.0,0.5,0
44,45,0,"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0]",-30.200000000000003,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",-30.200000000000003,0.5,Draw
45,46,0,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0]",-30.200000000000003,"[1, 0, 0, 1, 0, 0, 1, 0, 2, 0, 0, 0]",-20.3,0.5,1
