,iter,weights
0,1,"{'number_adjacent_facts_other_value': 1, 'number_other_facts_same_value': 1, 'number_other_facts_other_value': 1, 'adjacent_col_used': 1, 'adjacent_row_used': 1, 'adjacent_block_used': 1, 'other_col_cons': 1, 'other_row_cons': 1, 'other_block_cons': 1, 'number_adjacent_row_facts': 1, 'number_adjacent_col_facts': 1, 'number_adjacent_block_facts': 1}"
1,2,"{'number_adjacent_facts_other_value': 1.5, 'number_other_facts_same_value': 0.75, 'number_other_facts_other_value': 1.5, 'adjacent_col_used': 1.5, 'adjacent_row_used': 0.5, 'adjacent_block_used': 1.5, 'other_col_cons': 1.375, 'other_row_cons': 1.5, 'other_block_cons': 1.375, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.5, 'number_adjacent_block_facts': 1.5}"
2,3,"{'number_adjacent_facts_other_value': 1.625, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 0.001, 'adjacent_block_used': 2.0, 'other_col_cons': 1.8125, 'other_row_cons': 1.9375, 'other_block_cons': 0.875, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 1.8333333333333333, 'number_adjacent_block_facts': 1.3333333333333333}"
3,4,"{'number_adjacent_facts_other_value': 1.625, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.0, 'adjacent_col_used': 2.0, 'adjacent_row_used': 0.501, 'adjacent_block_used': 1.5, 'other_col_cons': 1.8125, 'other_row_cons': 1.9375, 'other_block_cons': 1.375, 'number_adjacent_row_facts': 1.0, 'number_adjacent_col_facts': 1.8333333333333333, 'number_adjacent_block_facts': 1.3333333333333333}"
4,5,"{'number_adjacent_facts_other_value': 1.625, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.5, 'adjacent_col_used': 2.5, 'adjacent_row_used': 1.001, 'adjacent_block_used': 1.0, 'other_col_cons': 1.3125, 'other_row_cons': 1.9375, 'other_block_cons': 1.875, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.5833333333333333, 'number_adjacent_block_facts': 1.0833333333333333}"
5,6,"{'number_adjacent_facts_other_value': 1.625, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.5, 'adjacent_col_used': 2.5, 'adjacent_row_used': 1.501, 'adjacent_block_used': 0.5, 'other_col_cons': 1.3125, 'other_row_cons': 1.4375, 'other_block_cons': 2.375, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.5833333333333333, 'number_adjacent_block_facts': 1.0833333333333333}"
6,7,"{'number_adjacent_facts_other_value': 1.625, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.5, 'adjacent_col_used': 2.5, 'adjacent_row_used': 2.001, 'adjacent_block_used': 0.001, 'other_col_cons': 1.3125, 'other_row_cons': 0.9375, 'other_block_cons': 2.875, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.5833333333333333, 'number_adjacent_block_facts': 1.0833333333333333}"
7,8,"{'number_adjacent_facts_other_value': 1.625, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 2.5, 'adjacent_col_used': 2.5, 'adjacent_row_used': 2.501, 'adjacent_block_used': 0.001, 'other_col_cons': 1.3125, 'other_row_cons': 0.4375, 'other_block_cons': 3.375, 'number_adjacent_row_facts': 1.5, 'number_adjacent_col_facts': 1.5833333333333333, 'number_adjacent_block_facts': 1.0833333333333333}"
8,9,"{'number_adjacent_facts_other_value': 1.625, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 2.5, 'adjacent_row_used': 3.001, 'adjacent_block_used': 0.001, 'other_col_cons': 1.3125, 'other_row_cons': 0.4375, 'other_block_cons': 3.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.3333333333333333, 'number_adjacent_block_facts': 0.9833333333333333}"
9,10,"{'number_adjacent_facts_other_value': 2.025, 'number_other_facts_same_value': 1.0, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 3.0, 'adjacent_row_used': 3.001, 'adjacent_block_used': 0.001, 'other_col_cons': 0.8125, 'other_row_cons': 0.7708333333333333, 'other_block_cons': 3.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.7333333333333334, 'number_adjacent_block_facts': 0.9833333333333333}"
10,11,"{'number_adjacent_facts_other_value': 2.025, 'number_other_facts_same_value': 1.2, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 3.5, 'adjacent_row_used': 3.001, 'adjacent_block_used': 0.001, 'other_col_cons': 0.8125, 'other_row_cons': 1.0708333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.7333333333333334, 'number_adjacent_block_facts': 0.9833333333333333}"
11,12,"{'number_adjacent_facts_other_value': 2.025, 'number_other_facts_same_value': 1.4857142857142858, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.001, 'adjacent_block_used': 0.001, 'other_col_cons': 0.8125, 'other_row_cons': 1.4458333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.7333333333333334, 'number_adjacent_block_facts': 0.9833333333333333}"
12,13,"{'number_adjacent_facts_other_value': 1.525, 'number_other_facts_same_value': 1.6107142857142858, 'number_other_facts_other_value': 3.0, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.001, 'adjacent_block_used': 0.001, 'other_col_cons': 1.0625, 'other_row_cons': 1.4458333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.7333333333333334, 'number_adjacent_block_facts': 0.4833333333333333}"
13,14,"{'number_adjacent_facts_other_value': 1.525, 'number_other_facts_same_value': 1.6107142857142858, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.001, 'other_col_cons': 1.0625, 'other_row_cons': 1.4458333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.4833333333333334, 'number_adjacent_block_facts': 0.23333333333333328}"
14,15,"{'number_adjacent_facts_other_value': 1.025, 'number_other_facts_same_value': 1.7357142857142858, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.001, 'other_col_cons': 1.0625, 'other_row_cons': 1.6958333333333333, 'other_block_cons': 3.875, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 0.9833333333333334, 'number_adjacent_block_facts': 0.001}"
15,16,"{'number_adjacent_facts_other_value': 1.025, 'number_other_facts_same_value': 1.4857142857142858, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 3.5, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.501, 'other_col_cons': 1.5625, 'other_row_cons': 1.3208333333333333, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 0.9833333333333334, 'number_adjacent_block_facts': 0.001}"
16,17,"{'number_adjacent_facts_other_value': 1.525, 'number_other_facts_same_value': 1.5857142857142859, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.0010000000000000009, 'other_col_cons': 1.0625, 'other_row_cons': 1.6208333333333333, 'other_block_cons': 4.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.4833333333333334, 'number_adjacent_block_facts': 0.001}"
17,18,"{'number_adjacent_facts_other_value': 1.525, 'number_other_facts_same_value': 1.385714285714286, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 3.5, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.501, 'other_col_cons': 1.5625, 'other_row_cons': 1.3208333333333333, 'other_block_cons': 4.875, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.4833333333333334, 'number_adjacent_block_facts': 0.001}"
18,19,"{'number_adjacent_facts_other_value': 1.525, 'number_other_facts_same_value': 1.5857142857142859, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 4.0, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.0010000000000000009, 'other_col_cons': 1.5625, 'other_row_cons': 1.6208333333333333, 'other_block_cons': 5.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.4833333333333334, 'number_adjacent_block_facts': 0.001}"
19,20,"{'number_adjacent_facts_other_value': 1.525, 'number_other_facts_same_value': 1.5857142857142859, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 3.5, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.501, 'other_col_cons': 2.0625, 'other_row_cons': 1.6208333333333333, 'other_block_cons': 5.375, 'number_adjacent_row_facts': 1.75, 'number_adjacent_col_facts': 1.4833333333333334, 'number_adjacent_block_facts': 0.001}"
20,21,"{'number_adjacent_facts_other_value': 1.2249999999999999, 'number_other_facts_same_value': 1.8357142857142859, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 3.5, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.501, 'other_col_cons': 2.3125, 'other_row_cons': 1.6208333333333333, 'other_block_cons': 5.375, 'number_adjacent_row_facts': 1.25, 'number_adjacent_col_facts': 1.4833333333333334, 'number_adjacent_block_facts': 0.001}"
21,22,"{'number_adjacent_facts_other_value': 1.2249999999999999, 'number_other_facts_same_value': 1.8357142857142859, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 3.5, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.501, 'other_col_cons': 2.3125, 'other_row_cons': 1.6208333333333333, 'other_block_cons': 5.375, 'number_adjacent_row_facts': 0.75, 'number_adjacent_col_facts': 1.5666666666666667, 'number_adjacent_block_facts': 0.001}"
22,23,"{'number_adjacent_facts_other_value': 1.1249999999999998, 'number_other_facts_same_value': 1.9607142857142859, 'number_other_facts_other_value': 3.5, 'adjacent_col_used': 3.5, 'adjacent_row_used': 3.501, 'adjacent_block_used': 0.501, 'other_col_cons': 2.3125, 'other_row_cons': 1.7458333333333333, 'other_block_cons': 5.375, 'number_adjacent_row_facts': 0.75, 'number_adjacent_col_facts': 1.4, 'number_adjacent_block_facts': 0.001}"
