,iter,no batch,features 1,obj value 1,features 2,obj value 2,lr selected,picked
0,1,0,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-101.0,"[2, 2, 1, 3, 0, 0, 4, 0, 6, 4, 6, 10]",-93.44,5,1
1,2,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-2.0,"[3, 3, 2, 4, 0, 0, 5, 0, 6, 0, 6, 10]",-100.65,5,0
2,3,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0]",-2.0,"[0, 0, 0, 1, 0, 0, 1, 0, 0, 7, 0, 2]",-7.3100000000000005,5,0
3,4,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-2.1,"[0, 0, 0, 0, 0, 0, 0, 1, 6, 1, 0, 0]",-107.0,5,0
4,5,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-2.1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]",-101.0,5,0
5,6,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-2.1,"[0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 0, 10]",-7.01,5,0
6,7,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-2.1,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 8, 0, 0]",-108.0,5,0
7,8,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-2.1,"[0, 0, 0, 0, 1, 0, 0, 0, 6, 1, 1, 0]",-117.0,5,0
8,9,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-2.1,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 10]",-2.2,5,Draw
9,10,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-2.1,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 10]",-2.2,5,Draw
10,11,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]",-2.1,"[0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 10]",-2.2,5,Draw
11,12,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]",-2.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1]",-3.1,5,Draw
12,13,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]",-2.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1]",-3.1,5,0
13,14,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]",-2.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1]",-3.1,5,Draw
14,15,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 3]",-2.3,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2]",-2.2,5,Draw
15,16,0,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 2]",-12.2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 10]",-4.0,5,1
16,17,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-3.1,"[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 10]",-13.0,5,0
17,18,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1]",-3.1,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,5,1
18,19,0,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-3.2,5,Draw
19,20,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-3.2,"[0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 1]",-2.2,5,Miss
20,21,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-3.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 0, 1]",-10.1,5,0
21,22,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-3.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1]",-4.1,5,Draw
22,23,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-3.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1]",-4.1,5,0
23,24,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-3.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1]",-4.1,5,0
24,25,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-3.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1]",-4.1,5,Draw
25,26,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-3.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1]",-4.1,5,Draw
26,27,0,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 2]",-3.2,"[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1]",-4.1,5,Miss
