,predicted,ground_truth,difference_df_relative,difference_df_abs
0,202.34,202.34,0.0,0.0
1,202.34,202.34,0.0,0.0
2,202.34,202.34,0.0,0.0
3,207.01,207.01,0.0,0.0
4,108.02,108.02,0.0,0.0
5,8.92,8.92,0.0,0.0
6,321.79,321.79,0.0,0.0
7,223.08,223.08,0.0,0.0
8,212.67000000000002,212.67000000000002,0.0,0.0
9,323.43,323.43,0.0,0.0
10,323.43,323.43,0.0,0.0
11,401.23,401.23,0.0,0.0
12,400.34,400.34,0.0,0.0
13,401.23,401.23,0.0,0.0
14,405.02,405.02,0.0,0.0
15,410.23,410.23,0.0,0.0
16,410.23,410.23,0.0,0.0
17,600.63,521.9599999999999,0.15072036171354142,78.67000000000007
18,610.53,610.53,0.0,0.0
19,410.23,410.23,0.0,0.0
20,835.87,835.87,0.0,0.0
21,123.99,123.99,0.0,0.0
22,207.0,207.0,0.0,0.0
23,224.06,224.06,0.0,0.0
24,304.53,304.53,0.0,0.0
25,223.0,223.0,0.0,0.0
26,225.05,225.05,0.0,0.0
27,126.06,126.06,0.0,0.0
28,123.99,123.99,0.0,0.0
29,105.63,105.63,0.0,0.0
30,8.92,8.92,0.0,0.0
31,108.01,108.01,0.0,0.0
32,8.92,8.92,0.0,0.0
33,207.0,207.0,0.0,0.0
34,108.01,108.01,0.0,0.0
35,8.92,8.92,0.0,0.0
36,207.01,207.01,0.0,0.0
37,108.02,108.02,0.0,0.0
38,8.92,8.92,0.0,0.0
39,222.77999999999997,222.77999999999997,0.0,0.0
40,105.63,105.63,0.0,0.0
41,224.06,224.06,0.0,0.0
42,105.63,105.63,0.0,0.0
43,108.01,108.01,0.0,0.0
44,8.92,8.92,0.0,0.0
45,207.0,207.0,0.0,0.0
46,108.01,108.01,0.0,0.0
47,8.92,8.92,0.0,0.0
48,207.0,207.0,0.0,0.0
49,108.01,108.01,0.0,0.0
50,8.92,8.92,0.0,0.0
51,222.77999999999997,222.77999999999997,0.0,0.0
52,124.07,124.07,0.0,0.0
53,105.63,105.63,0.0,0.0
54,108.01,108.01,0.0,0.0
55,8.92,8.92,0.0,0.0
